Company Name,year_month,Industry Category,n_reviews,composite_score,composite_std,core_score,sub_score,rating_mean,outlook_mean,recommend_mean,ceo_mean,pros_vader_mean,cons_vader_mean,text_sent_mean,stock_price,log_return,year_month_dt,covid_period,post_covid,composite_lag1,text_sent_lag1,composite_lag2,text_sent_lag2,composite_lag3,text_sent_lag3
ADP,2016-01,IT Consulting & Professional Services,220,0.6261742424242424,0.2042677054201352,0.6482954545454546,0.5886574074074074,0.634090909090909,0.7090909090909091,0.6090909090909091,0.6409090909090909,0.6743936363636364,-0.009610909090909094,0.6672509686505276,66.45,,2016-01-01,0,0,,,,,,
ADP,2016-02,IT Consulting & Professional Services,232,0.6106896551724138,0.261618254449785,0.6336206896551724,0.5819047619047619,0.6163793103448276,0.6422413793103449,0.6163793103448276,0.6594827586206896,0.7087793103448277,-0.002677586206896552,0.6742113274388896,67.73,0.019079428067557976,2016-02-01,0,0,0.6261742424242424,0.6672509686505276,,,,
ADP,2016-03,IT Consulting & Professional Services,207,0.6802536231884058,0.23976759008720558,0.7134661835748792,0.6350267379679144,0.6702898550724637,0.7318840579710145,0.7536231884057971,0.6980676328502415,0.6965415458937199,-0.045308695652173915,0.681917355428588,72.2,0.06391083267196826,2016-03-01,0,0,0.6106896551724138,0.6742113274388896,0.6261742424242424,0.6672509686505276,,
ADP,2016-04,IT Consulting & Professional Services,230,0.5975905797101448,0.25704323051080996,0.6230978260869565,0.5607890499194846,0.5902173913043478,0.6108695652173913,0.6369565217391304,0.6543478260869565,0.6100734782608696,0.029395652173913045,0.6410531746372954,71.17,-0.01436866458760079,2016-04-01,0,0,0.6802536231884058,0.681917355428588,0.6106896551724138,0.6742113274388896,0.6261742424242424,0.6672509686505276
ADP,2016-05,IT Consulting & Professional Services,196,0.6223554421768708,0.23511696263430032,0.6447704081632653,0.5875980392156863,0.625,0.6581632653061225,0.6428571428571429,0.6530612244897959,0.689926530612245,-0.038820408163265305,0.6785951012336174,70.69,-0.006767261128317108,2016-05-01,0,0,0.5975905797101448,0.6410531746372954,0.6802536231884058,0.681917355428588,0.6106896551724138,0.6742113274388896
ADP,2016-06,IT Consulting & Professional Services,157,0.6144267515923567,0.2480342383267458,0.6504777070063694,0.5531468531468531,0.5955414012738853,0.6496815286624203,0.643312101910828,0.7133757961783439,0.6578636942675159,-0.07473566878980892,0.6795718574725096,74.39,0.05101740402038734,2016-06-01,0,0,0.6223554421768708,0.6785951012336174,0.5975905797101448,0.6410531746372954,0.6802536231884058,0.681917355428588
ADP,2016-07,IT Consulting & Professional Services,177,0.6447457627118645,0.24075344634701726,0.6709039548022598,0.6135220125786164,0.652542372881356,0.6892655367231638,0.6779661016949152,0.6638418079096046,0.6226361581920904,0.052554802259887,0.6383665109739113,72.02,-0.03237766598252092,2016-07-01,0,0,0.6144267515923567,0.6795718574725096,0.6223554421768708,0.6785951012336174,0.5975905797101448,0.6410531746372954
ADP,2016-08,IT Consulting & Professional Services,254,0.6202559055118111,0.27253147090376795,0.6422244094488189,0.5835416666666667,0.6200787401574803,0.6614173228346457,0.6496062992125984,0.6377952755905512,0.6378952755905511,-0.03973858267716535,0.6656357238071339,72.72,0.009672591648494168,2016-08-01,0,0,0.6447457627118645,0.6383665109739113,0.6144267515923567,0.6795718574725096,0.6223554421768708,0.6785951012336174
ADP,2016-09,IT Consulting & Professional Services,241,0.6192219917012448,0.23757069450870819,0.6397821576763485,0.5886462882096071,0.6255186721991701,0.6182572614107884,0.6390041493775933,0.6763485477178424,0.6679958506224066,-0.029270954356846474,0.6706135252603264,71.84,-0.012175025875279192,2016-09-01,0,0,0.6202559055118111,0.6656357238071339,0.6447457627118645,0.6383665109739113,0.6144267515923567,0.6795718574725096
ADP,2016-10,IT Consulting & Professional Services,263,0.6145785804816223,0.25155839420097487,0.6371197718631179,0.5812918340026774,0.6321292775665399,0.6311787072243346,0.6197718631178707,0.6653992395437263,0.6467638783269962,0.000596958174904943,0.6576574935098226,70.91,-0.01302995667803895,2016-10-01,0,0,0.6192219917012448,0.6706135252603264,0.6202559055118111,0.6656357238071339,0.6447457627118645,0.6383665109739113
ADP,2016-11,IT Consulting & Professional Services,233,0.628519313304721,0.275698870295627,0.6496781115879828,0.5992081447963802,0.6180257510729614,0.6416309012875536,0.6266094420600858,0.7124463519313304,0.666419313304721,-0.05196437768240344,0.6759675695309766,78.21,0.09798604929761474,2016-11-01,0,0,0.6145785804816223,0.6576574935098226,0.6192219917012448,0.6706135252603264,0.6202559055118111,0.6656357238071339
